seconds, temperature
885.00,100.00
886.00,100.00
887.00,100.00
888.00,100.00
889.00,100.00
890.00,100.00
891.00,100.00
892.00,100.00
893.00,100.00
894.00,100.00
895.00,100.00
896.00,100.00
897.00,100.00
898.00,100.00
899.00,100.00
900.00,100.00
901.00,100.00
902.00,100.00
903.00,100.00
904.00,100.00
905.00,100.00
906.00,100.00
907.00,100.00
908.00,100.00
909.00,100.00
910.00,100.00
911.00,100.00
913.00,100.00
914.00,100.00
915.00,100.00
916.00,100.00
917.00,100.00
918.00,100.00
919.00,100.00
920.00,100.00
921.00,100.00
922.00,100.00
923.00,100.00
924.00,100.00
925.00,100.00
926.00,100.00
927.00,100.00
928.00,100.00
929.00,100.00
930.00,100.00
931.00,100.00
932.00,100.00
933.00,100.00
934.00,100.00
935.00,100.00
936.00,100.00
937.00,100.00
938.00,100.00
939.00,100.00
940.00,100.00
941.00,100.00
942.00,100.00
943.00,100.00
944.00,100.00
945.00,100.00
946.00,100.00
947.00,100.00
948.00,100.00
949.00,100.00
950.00,100.00
951.00,100.00
952.00,100.00
953.00,100.00
954.00,100.00
955.00,100.00
956.00,100.00
957.00,100.00
958.00,100.00
959.00,100.00
960.00,100.00
961.00,100.00
962.00,100.00
963.00,100.00
964.00,100.00
965.00,100.00
966.00,100.00
967.00,100.00
968.00,100.00
969.00,100.00
970.00,100.00
971.00,100.00
972.00,100.00
973.00,100.00
974.00,100.00
975.00,100.00
976.00,100.00
977.00,100.00
978.00,100.00
979.00,100.00
980.00,100.00
981.00,100.00
982.00,100.00
983.00,100.00
984.00,100.00
985.00,100.00
986.00,100.00
987.00,100.00
988.00,100.00
989.00,100.00
990.00,100.00
991.00,100.00
992.00,100.00
993.00,100.00
994.00,100.00
995.00,100.00
996.00,100.00
997.00,100.00
998.00,100.00
999.00,100.00
1000.00,100.00
1001.00,100.00
1002.00,100.00
1003.00,100.00
1004.00,100.00
1005.00,100.00
1006.00,100.00
1007.00,100.00
1008.00,100.00
1009.00,100.00
1011.00,100.00
1012.00,100.00
1013.00,100.00
1014.00,100.00
1015.00,100.00
1016.00,100.00
1017.00,100.00
1018.00,100.00
1019.00,100.00
1020.00,100.00
1021.00,100.00
1022.00,100.00
1023.00,100.00
1024.00,100.00
1025.00,100.00
1026.00,100.00
1027.00,100.00
1028.00,100.00
1029.00,100.00
1030.00,100.00
1031.00,100.00
1032.00,100.00
1033.00,100.00
1034.00,100.00
1035.00,100.00
1036.00,100.00
1037.00,100.00
1038.00,100.00
1039.00,100.00
1040.00,100.00
1041.00,100.00
1042.00,100.00
1043.00,100.00
1044.00,100.00
1045.00,100.00
1046.00,100.00
1047.00,100.00
1048.00,100.00
1049.00,100.00
1050.00,100.00
1051.00,100.00
1052.00,100.00
1053.00,100.00
1054.00,100.00
1055.00,100.00
1056.00,100.01
1057.00,100.15
1058.00,100.49
1059.00,100.87
1060.00,101.22
1061.00,101.58
1062.00,101.91
1063.00,102.28
1064.00,102.62
1065.00,102.97
1066.00,103.31
1067.00,103.67
1068.00,104.00
1069.00,104.36
1070.00,104.70
1071.00,105.05
1072.00,105.38
1073.00,105.73
1074.00,106.07
1075.00,106.41
1076.00,106.75
1077.00,107.10
1078.00,107.46
1079.00,107.78
1080.00,108.12
1081.00,108.47
1082.00,108.81
1083.00,109.14
1084.00,109.50
1085.00,109.83
1086.00,110.15
1087.00,110.51
1088.00,110.86
1089.00,111.18
1090.00,111.51
1091.00,111.86
1092.00,112.18
1093.00,112.52
1094.00,112.87
1095.00,113.19
1096.00,113.54
1097.00,113.87
1098.00,114.22
1099.00,114.54
1100.00,114.89
1101.00,115.23
1102.00,115.56
1103.00,115.89
1104.00,116.25
1105.00,116.56
1106.00,116.91
1107.00,117.26
1108.00,117.60
1109.00,117.91
1110.00,118.26
1111.00,118.60
1112.00,118.92
1113.00,119.27
1114.00,119.60
1115.00,119.95
1116.00,120.27
1117.00,120.60
1118.00,120.95
1119.00,121.29
1120.00,121.62
1121.00,121.97
1122.00,122.29
1123.00,122.62
1124.00,122.97
1125.00,123.32
1126.00,123.64
1128.00,123.99
1129.00,124.32
1130.00,124.65
1131.00,125.00
1132.00,125.24
1133.00,125.27
1134.00,125.23
1135.00,125.20
1136.00,125.18
1137.00,125.17
1138.00,125.16
1139.00,125.15
1140.00,125.14
1141.00,125.13
1142.00,125.12
1143.00,125.11
1144.00,125.10
1145.00,125.10
1146.00,125.09
1147.00,125.08
1148.00,125.08
1149.00,125.07
1150.00,125.07
1151.00,125.06
1152.00,125.06
1153.00,125.05
1154.00,125.05
1155.00,125.05
1156.00,125.04
1157.00,125.04
1158.00,125.04
1159.00,125.04
1160.00,125.03
1161.00,125.03
1162.00,125.03
1163.00,125.03
1164.00,125.03
1165.00,125.02
1166.00,125.02
1167.00,125.02
1168.00,125.02
1169.00,125.02
1170.00,125.02
1171.00,125.02
1172.00,125.01
1173.00,125.01
1174.00,125.01
1175.00,125.01
1176.00,125.01
1177.00,125.01
1178.00,125.01
1179.00,125.01
1180.00,125.01
1181.00,125.01
1182.00,125.01
1183.00,125.01
1184.00,125.01
1185.00,125.01
1186.00,125.01
1187.00,125.00
1188.00,125.00
1189.00,125.00
1190.00,125.00
1191.00,125.00
1192.00,125.00
1193.00,125.00
1194.00,125.00
1195.00,125.00
1196.00,125.00
1197.00,125.00
1198.00,125.00
1199.00,125.00
1200.00,125.00
1201.00,125.00
1202.00,125.00
1203.00,125.00
1204.00,125.00
1205.00,125.00
1206.00,125.00
1207.00,125.00
1208.00,125.00
1209.00,125.00
1210.00,125.00
1211.00,125.00
1212.00,125.00
1213.00,125.00
1214.00,125.00
1215.00,125.00
1216.00,125.00
1217.00,125.00
1218.00,125.00
1219.00,125.00
1220.00,125.00
1221.00,125.00
1222.00,125.00
1223.00,125.00
1224.00,125.00
1225.00,125.00
1226.00,125.00
1227.00,125.00
1228.00,125.00
1229.00,125.00
1230.00,125.00
1231.00,125.00
1233.00,125.00
1234.00,125.00
1235.00,125.00
1236.00,125.00
1237.00,125.00
1238.00,125.00
1239.00,125.00
1240.00,125.00
1241.00,125.00
1242.00,125.00
1243.00,125.00
1244.00,125.00
1245.00,125.00
1246.00,125.00
1247.00,125.00
1248.00,125.00
1249.00,125.00
1250.00,125.00
1251.00,125.00
1252.00,125.00
1253.00,125.00
1254.00,125.00
1255.00,125.00
1256.00,125.00
1257.00,125.00
1258.00,125.00
1259.00,125.00
1260.00,125.00
1261.00,125.00
1262.00,125.00
1263.00,125.00
1264.00,125.00
1265.00,125.00
1266.00,125.00
1267.00,125.00
1268.00,125.00
1269.00,125.00
1270.00,125.00
1271.00,125.00
1272.00,125.00
1273.00,125.00
1274.00,125.00
1275.00,125.00
1276.00,125.00
1277.00,125.00
1278.00,125.00
1279.00,125.00
1280.00,125.00
1281.00,125.00
1282.00,125.00
1283.00,125.00
1284.00,125.00
1285.00,125.00
1286.00,125.00
1287.00,125.00
1288.00,125.00
1289.00,125.00
1290.00,125.00
1291.00,125.00
1292.00,125.00
1293.00,125.00
1294.00,125.00
1295.00,125.00
1296.00,125.00
1297.00,125.00
1298.00,125.00
1299.00,125.00
1300.00,125.00
1301.00,125.00
1302.00,125.00
1303.00,125.00
1304.00,125.00
1305.00,125.00
1306.00,125.00
1307.00,125.00
1308.00,125.00
1309.00,125.00
1310.00,125.00
1311.00,125.00
1312.00,125.00
1313.00,125.00
1314.00,125.00
1315.00,125.00
1316.00,125.00
1317.00,125.00
1318.00,125.00
1319.00,125.00
1320.00,125.00
1321.00,125.00
1322.00,125.00
1323.00,125.00
1324.00,125.00
1325.00,125.00
1326.00,125.00
1327.00,125.00
1328.00,125.00
1329.00,125.00
1330.00,125.00
1331.00,125.00
1332.00,125.00
1333.00,125.00
1334.00,125.00
1335.00,125.00
1336.00,125.00
1337.00,125.00
1338.00,125.00
1339.00,125.00
1340.00,125.00
1342.00,125.00
1343.00,125.00
1344.00,125.00
1345.00,125.00
1346.00,125.00
1347.00,125.00
